dataset,activation,hidden_layers,units_per_layer,epochs_run,final_train_loss,best_val_loss,final_test_loss,test_accuracy,run
Iris,relu,4,32,249,0.1422746926249446,0.2931680166077997,0.13498661348772184,0.9333333333333333,22
Iris,relu,4,32,295,0.056244538188192035,0.1655347293051061,0.0677485668606464,1.0,23
Iris,relu,4,32,218,0.07363054176373217,0.22681087632778554,0.11902226914321787,0.9666666666666667,24
Iris,relu,4,32,109,0.121736862282185,0.2749591737052776,0.14941875983646882,0.9333333333333333,25
Iris,relu,4,32,146,0.10460249594667231,0.35544131336068346,0.13325065355859872,0.9333333333333333,26
Iris,relu,4,32,131,0.10854589678317154,0.439847910985178,0.16344509231833,0.9,27
Iris,relu,4,32,276,0.057854059162371387,0.2705744033475448,0.09042541306133009,0.9666666666666667,28
Iris,relu,4,32,110,0.11119752442453923,0.4345995427388234,0.14451600343535054,0.9666666666666667,29
Iris,relu,15,32,124,0.05748586017899532,0.36479332389708724,0.09527636159077656,1.0,0
Iris,relu,15,32,53,0.03660592233293175,0.3840149459537184,0.12161986155633965,0.9666666666666667,1
Iris,relu,15,32,52,0.053259507865863615,0.36219480565216017,0.27589847373750515,0.9,2
Iris,relu,15,32,108,0.019295924001477557,0.10446016509768331,0.07758054416317418,1.0,3
Iris,relu,15,32,96,0.087231277720631,0.3379103340646383,0.19530229437256202,0.9,4
Iris,relu,15,32,83,0.032528181544018986,0.25967286619037955,0.06547765746651517,1.0,5
Iris,relu,15,32,48,0.11330438078358411,0.2878027162736865,0.31781459582715593,0.9,6
Iris,relu,15,32,114,0.047379735347020696,0.32591765292912667,0.07668093637089383,1.0,7
Iris,relu,15,32,100,0.06993549042638374,0.19462389009844794,0.0889342550479583,0.9666666666666667,8
Iris,relu,15,32,117,0.3292628114958431,0.2490302162764765,0.1249512189090113,1.0,9
Iris,relu,15,32,67,0.02458971106324036,0.18193132141476753,0.08984258987750308,1.0,10
Iris,relu,15,32,85,0.025368178606208134,0.2921044153999972,0.13261649588553967,0.9666666666666667,11
Iris,relu,15,32,116,0.036717329644858125,0.19513599585255015,0.13701442217511248,0.9666666666666667,12
Iris,relu,15,32,52,0.5840313143918711,0.3947823408752644,0.34023404040454136,0.9666666666666667,13
Iris,relu,15,32,68,0.02711908884307081,0.17876421738232942,0.1464811044253456,0.9666666666666667,14
Iris,relu,15,32,64,0.2208903517303166,0.570088274575492,0.21157718024858585,0.9666666666666667,15
Iris,relu,15,32,52,0.04572109850952302,0.27309935781511496,0.2777039786999742,0.8666666666666667,16
Iris,relu,15,32,123,0.04089526395465496,0.1143274140690223,0.12111772751194845,0.9666666666666667,17
Iris,relu,15,32,102,0.03663937056506953,0.21571188097171926,0.08611375660096865,1.0,18
Iris,relu,15,32,89,0.08696717167861716,0.4573981792763539,0.22305336840722537,0.8666666666666667,19
Iris,relu,15,32,53,0.3634907067565048,0.29299343636107583,0.20621977155663931,0.9666666666666667,20
Iris,relu,15,32,51,0.04530058699608381,0.33708113409636226,0.16978257192320612,0.9333333333333333,21
Iris,relu,15,32,79,0.032280496583644853,0.06312618756981102,0.06681908253451502,1.0,22
Iris,relu,15,32,109,0.03418482338312074,0.165396054052332,0.06446571847258446,1.0,23
Iris,relu,15,32,224,0.0023420273665056795,0.05848710210882178,0.09169381714224331,0.9666666666666667,24
Iris,relu,15,32,76,0.024257788512002915,0.23484425606214554,0.3078182268827299,0.9,25
Iris,relu,15,32,56,0.07441721041409587,0.4727474323326097,0.1280556807467909,1.0,26
Iris,relu,15,32,81,0.07417030055286992,0.2867865958278948,0.15338732125781068,1.0,27
Iris,relu,15,32,63,0.017220823143473896,0.23051310848744447,0.11010901803535142,0.9666666666666667,28
Iris,relu,15,32,34,0.15471243760048536,0.7081497231056545,0.42997929675866176,0.9333333333333333,29
Iris,leaky_relu,1,32,300,0.2029451905556626,0.3310817211863799,0.16652921077527372,0.9666666666666667,0
Iris,leaky_relu,1,32,300,0.1748466153956437,0.34257149702940753,0.16617497506993564,0.9666666666666667,1
Iris,leaky_relu,1,32,300,0.18291902853127737,0.2734231567947166,0.1914718737826363,0.9,2
